dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,gate_mode,minimum_failures
SECOM,7,DTCG-no-first-shift-hold,0,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,2.0,0.1,0.9,0.0,0.0,2.0,1.0,0.9545704279355105,1,shifted-base-calibration,5
SECOM,7,DTCG-no-first-shift-hold,1,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9585405155777944,1,shifted-base-calibration,5
SECOM,7,DTCG-no-first-shift-hold,2,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,4.0,0.2,0.8,0.0,0.0,4.0,1.0,0.9779045946736904,1,shifted-base-calibration,5
SECOM,7,DTCG-no-first-shift-hold,3,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.24,0.76,0.0,0.0,0.0,0.0,0.9942422864668256,1,shifted-rolling-calibration,5
SECOM,7,DTCG-no-first-shift-hold,4,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.08,0.92,0.0,0.0,1.0,1.0,0.9961292745692149,1,shifted-rolling-calibration,5
SECOM,7,DTCG-no-first-shift-hold,5,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.02,0.98,0.0,0.0,1.0,1.0,0.9956280626940486,1,shifted-rolling-calibration,5
SECOM,7,DTCG-no-first-shift-hold,6,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,shifted-rolling-calibration,5
SECOM,7,DTCG-no-first-shift-hold,7,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.08,0.92,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,shifted-rolling-calibration,5
SECOM,7,DTCG-no-first-shift-hold,8,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,5.0,0.04,0.96,0.0,0.0,5.0,1.0,0.9976920461821805,1,shifted-rolling-calibration,5
SECOM,7,DTCG-no-first-shift-hold,9,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9971988795518207,1,shifted-rolling-calibration,5
SECOM,7,DTCG-no-first-shift-hold,10,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,9.0,0.08,0.92,0.0,0.0,9.0,1.0,0.994539754236337,1,shifted-rolling-calibration,5
