dataset,seed,batch,start_index,end_index,n,failure_count,failure_rate,domain_auc,shift_flag
SECOM,7,0,800,849,50,2,0.04,0.9545704279355105,1
SECOM,7,1,850,899,50,1,0.02,0.9585405155777944,1
SECOM,7,2,900,949,50,4,0.08,0.9779045946736904,1
SECOM,7,3,950,999,50,0,0.0,0.9942422864668256,1
SECOM,7,4,1000,1049,50,1,0.02,0.9961292745692149,1
SECOM,7,5,1050,1099,50,1,0.02,0.9956280626940486,1
SECOM,7,6,1100,1149,50,1,0.02,0.9921783029786934,1
SECOM,7,7,1150,1199,50,3,0.06,0.996775300850898,1
SECOM,7,8,1200,1249,50,5,0.1,0.9976920461821805,1
SECOM,7,9,1250,1299,50,1,0.02,0.9971988795518207,1
SECOM,7,10,1300,1349,50,9,0.18,0.994539754236337,1
SECOM,7,11,1350,1399,50,3,0.06,0.9950061721467849,1
SECOM,7,12,1400,1449,50,3,0.06,0.9967565973757924,1
SECOM,7,13,1450,1499,50,0,0.0,0.9927867160218368,1
SECOM,7,14,1500,1549,50,1,0.02,0.9974937343358397,1
SECOM,7,15,1550,1566,17,0,0.0,0.9960011970224066,1
SECOM,17,0,800,849,50,2,0.04,0.9637407005221569,1
SECOM,17,1,850,899,50,1,0.02,0.950356782540196,1
SECOM,17,2,900,949,50,4,0.08,0.9993941999423493,1
SECOM,17,3,950,999,50,0,0.0,0.992985027868178,1
SECOM,17,4,1000,1049,50,1,0.02,0.9922237551737112,1
SECOM,17,5,1050,1099,50,1,0.02,0.9939393864380001,1
SECOM,17,6,1100,1149,50,1,0.02,0.9927947612666433,1
SECOM,17,7,1150,1199,50,3,0.06,0.994711317362766,1
SECOM,17,8,1200,1249,50,5,0.1,0.995882691254035,1
SECOM,17,9,1250,1299,50,1,0.02,0.9946926138876604,1
SECOM,17,10,1300,1349,50,9,0.18,0.9921863482234999,1
SECOM,17,11,1350,1399,50,3,0.06,0.9941403112698338,1
SECOM,17,12,1400,1449,50,3,0.06,0.9914679147385584,1
SECOM,17,13,1450,1499,50,0,0.0,0.9808344390387734,1
SECOM,17,14,1500,1549,50,1,0.02,0.9900927967416345,1
SECOM,17,15,1550,1566,17,0,0.0,0.9950061721467849,1
SECOM,27,0,800,849,50,2,0.04,0.9521315497919515,1
SECOM,27,1,850,899,50,1,0.02,0.9586183550403664,1
SECOM,27,2,900,949,50,4,0.08,0.9998525726079905,1
SECOM,27,3,950,999,50,0,0.0,0.9927680125467312,1
SECOM,27,4,1000,1049,50,1,0.02,0.996038163890851,1
SECOM,27,5,1050,1099,50,1,0.02,0.9964804460668791,1
SECOM,27,6,1100,1149,50,1,0.02,0.9926286303995283,1
SECOM,27,7,1150,1199,50,3,0.06,0.9969066377532946,1
SECOM,27,8,1200,1249,50,5,0.1,0.9967833460957046,1
SECOM,27,9,1250,1299,50,1,0.02,0.9958720330237357,1
SECOM,27,10,1300,1349,50,9,0.18,0.9996970999711746,1
SECOM,27,11,1350,1399,50,3,0.06,0.9967565973757925,1
SECOM,27,12,1400,1449,50,3,0.06,0.994850699509969,1
SECOM,27,13,1450,1499,50,0,0.0,0.9949874686716792,1
SECOM,27,14,1500,1549,50,1,0.02,0.9953814793788686,1
SECOM,27,15,1550,1566,17,0,0.0,0.9957430890659484,1
SECOM,37,0,800,849,50,2,0.04,0.9585031086275829,1
SECOM,37,1,850,899,50,1,0.02,0.9646789686023663,1
SECOM,37,2,900,949,50,4,0.08,0.9984613641214537,1
SECOM,37,3,950,999,50,0,0.0,0.9936256218905473,1
SECOM,37,4,1000,1049,50,1,0.02,0.9949633329372597,1
SECOM,37,5,1050,1099,50,1,0.02,0.9990671641791046,1
SECOM,37,6,1100,1149,50,1,0.02,0.9991154356479433,1
SECOM,37,7,1150,1199,50,3,0.06,0.9938080495356036,1
SECOM,37,8,1200,1249,50,5,0.1,0.9974937343358397,1
SECOM,37,9,1250,1299,50,1,0.02,0.9936310541498611,1
SECOM,37,10,1300,1349,50,9,0.18,0.9973302164542172,1
SECOM,37,11,1350,1399,50,3,0.06,0.9949874686716792,1
SECOM,37,12,1400,1449,50,3,0.06,0.997641161727849,1
SECOM,37,13,1450,1499,50,0,0.0,0.9995335820895522,1
SECOM,37,14,1500,1549,50,1,0.02,0.9964617425917736,1
SECOM,37,15,1550,1566,17,0,0.0,0.9954051796157058,1
SECOM,47,0,800,849,50,2,0.04,0.9673485458598208,1
SECOM,47,1,850,899,50,1,0.02,0.9439906559638782,1
SECOM,47,2,900,949,50,4,0.08,0.9944834375226916,1
SECOM,47,3,950,999,50,0,0.0,0.9954967257916522,1
SECOM,47,4,1000,1049,50,1,0.02,0.9923337756155094,1
SECOM,47,5,1050,1099,50,1,0.02,0.9961105710941092,1
SECOM,47,6,1100,1149,50,1,0.02,0.9991154356479434,1
SECOM,47,7,1150,1199,50,3,0.06,0.9990832546687174,1
SECOM,47,8,1200,1249,50,5,0.1,0.9942181507324062,1
SECOM,47,9,1250,1299,50,1,0.02,0.9972175830269263,1
SECOM,47,10,1300,1349,50,9,0.18,0.9929019624346203,1
SECOM,47,11,1350,1399,50,3,0.06,0.9903071990775887,1
SECOM,47,12,1400,1449,50,3,0.06,0.9970514521598113,1
SECOM,47,13,1450,1499,50,0,0.0,0.9970434069150048,1
SECOM,47,14,1500,1549,50,1,0.02,0.9904172195193867,1
SECOM,47,15,1550,1566,17,0,0.0,0.9936545343458149,1
AI4I,7,0,8000,8049,50,1,0.02,0.8975316153087562,1
AI4I,7,1,8050,8099,50,0,0.0,0.898429704508283,1
AI4I,7,2,8100,8149,50,1,0.02,0.9316144403067853,1
AI4I,7,3,8150,8199,50,3,0.06,0.9932104474171676,1
AI4I,7,4,8200,8249,50,1,0.02,1.0,1
AI4I,7,5,8250,8299,50,0,0.0,1.0,1
AI4I,7,6,8300,8349,50,1,0.02,1.0,1
AI4I,7,7,8350,8399,50,2,0.04,1.0,1
AI4I,7,8,8400,8449,50,1,0.02,1.0,1
AI4I,7,9,8450,8499,50,0,0.0,1.0,1
AI4I,7,10,8500,8549,50,1,0.02,1.0,1
AI4I,7,11,8550,8599,50,1,0.02,1.0,1
AI4I,7,12,8600,8649,50,2,0.04,1.0,1
AI4I,7,13,8650,8699,50,1,0.02,1.0,1
AI4I,7,14,8700,8749,50,0,0.0,1.0,1
AI4I,7,15,8750,8799,50,0,0.0,1.0,1
AI4I,7,16,8800,8849,50,1,0.02,1.0,1
AI4I,7,17,8850,8899,50,0,0.0,1.0,1
AI4I,7,18,8900,8949,50,1,0.02,1.0,1
AI4I,7,19,8950,8999,50,0,0.0,1.0,1
AI4I,7,20,9000,9049,50,4,0.08,1.0,1
AI4I,7,21,9050,9099,50,1,0.02,1.0,1
AI4I,7,22,9100,9149,50,0,0.0,1.0,1
AI4I,7,23,9150,9199,50,2,0.04,1.0,1
AI4I,7,24,9200,9249,50,0,0.0,1.0,1
AI4I,7,25,9250,9299,50,0,0.0,1.0,1
AI4I,7,26,9300,9349,50,0,0.0,1.0,1
AI4I,7,27,9350,9399,50,0,0.0,1.0,1
AI4I,7,28,9400,9449,50,1,0.02,1.0,1
AI4I,7,29,9450,9499,50,1,0.02,0.9999116763822645,1
AI4I,7,30,9500,9549,50,0,0.0,0.9970742415402438,1
AI4I,7,31,9550,9599,50,1,0.02,0.9933228216751896,1
AI4I,7,32,9600,9649,50,1,0.02,1.0,1
AI4I,7,33,9650,9699,50,6,0.12,1.0,1
AI4I,7,34,9700,9749,50,0,0.0,1.0,1
AI4I,7,35,9750,9799,50,2,0.04,1.0,1
AI4I,7,36,9800,9849,50,2,0.04,1.0,1
AI4I,7,37,9850,9899,50,0,0.0,1.0,1
AI4I,7,38,9900,9949,50,0,0.0,1.0,1
AI4I,7,39,9950,9999,50,1,0.02,1.0,1
AI4I,17,0,8000,8049,50,1,0.02,0.9352701817700936,1
AI4I,17,1,8050,8099,50,0,0.0,0.9010387272359228,1
AI4I,17,2,8100,8149,50,1,0.02,0.9276239816851864,1
AI4I,17,3,8150,8199,50,3,0.06,0.9949746134705126,1
AI4I,17,4,8200,8249,50,1,0.02,1.0,1
AI4I,17,5,8250,8299,50,0,0.0,1.0,1
AI4I,17,6,8300,8349,50,1,0.02,1.0,1
AI4I,17,7,8350,8399,50,2,0.04,1.0,1
AI4I,17,8,8400,8449,50,1,0.02,1.0,1
AI4I,17,9,8450,8499,50,0,0.0,1.0,1
AI4I,17,10,8500,8549,50,1,0.02,1.0,1
AI4I,17,11,8550,8599,50,1,0.02,1.0,1
AI4I,17,12,8600,8649,50,2,0.04,1.0,1
AI4I,17,13,8650,8699,50,1,0.02,1.0,1
AI4I,17,14,8700,8749,50,0,0.0,1.0,1
AI4I,17,15,8750,8799,50,0,0.0,1.0,1
AI4I,17,16,8800,8849,50,1,0.02,1.0,1
AI4I,17,17,8850,8899,50,0,0.0,1.0,1
AI4I,17,18,8900,8949,50,1,0.02,1.0,1
AI4I,17,19,8950,8999,50,0,0.0,1.0,1
AI4I,17,20,9000,9049,50,4,0.08,1.0,1
AI4I,17,21,9050,9099,50,1,0.02,1.0,1
AI4I,17,22,9100,9149,50,0,0.0,1.0,1
AI4I,17,23,9150,9199,50,2,0.04,1.0,1
AI4I,17,24,9200,9249,50,0,0.0,1.0,1
AI4I,17,25,9250,9299,50,0,0.0,1.0,1
AI4I,17,26,9300,9349,50,0,0.0,1.0,1
AI4I,17,27,9350,9399,50,0,0.0,1.0,1
AI4I,17,28,9400,9449,50,1,0.02,1.0,1
AI4I,17,29,9450,9499,50,1,0.02,0.9999687656171914,1
AI4I,17,30,9500,9549,50,0,0.0,0.996723297510404,1
AI4I,17,31,9550,9599,50,1,0.02,0.9929268109718326,1
AI4I,17,32,9600,9649,50,1,0.02,1.0,1
AI4I,17,33,9650,9699,50,6,0.12,1.0,1
AI4I,17,34,9700,9749,50,0,0.0,1.0,1
AI4I,17,35,9750,9799,50,2,0.04,1.0,1
AI4I,17,36,9800,9849,50,2,0.04,1.0,1
AI4I,17,37,9850,9899,50,0,0.0,1.0,1
AI4I,17,38,9900,9949,50,0,0.0,1.0,1
AI4I,17,39,9950,9999,50,1,0.02,1.0,1
AI4I,27,0,8000,8049,50,1,0.02,0.9303690375709514,1
AI4I,27,1,8050,8099,50,0,0.0,0.9053447408516196,1
AI4I,27,2,8100,8149,50,1,0.02,0.9281729255492374,1
AI4I,27,3,8150,8199,50,3,0.06,0.9930607033526163,1
AI4I,27,4,8200,8249,50,1,0.02,1.0,1
AI4I,27,5,8250,8299,50,0,0.0,1.0,1
AI4I,27,6,8300,8349,50,1,0.02,1.0,1
AI4I,27,7,8350,8399,50,2,0.04,1.0,1
AI4I,27,8,8400,8449,50,1,0.02,1.0,1
AI4I,27,9,8450,8499,50,0,0.0,1.0,1
AI4I,27,10,8500,8549,50,1,0.02,1.0,1
AI4I,27,11,8550,8599,50,1,0.02,1.0,1
AI4I,27,12,8600,8649,50,2,0.04,1.0,1
AI4I,27,13,8650,8699,50,1,0.02,1.0,1
AI4I,27,14,8700,8749,50,0,0.0,1.0,1
AI4I,27,15,8750,8799,50,0,0.0,1.0,1
AI4I,27,16,8800,8849,50,1,0.02,1.0,1
AI4I,27,17,8850,8899,50,0,0.0,1.0,1
AI4I,27,18,8900,8949,50,1,0.02,1.0,1
AI4I,27,19,8950,8999,50,0,0.0,1.0,1
AI4I,27,20,9000,9049,50,4,0.08,1.0,1
AI4I,27,21,9050,9099,50,1,0.02,1.0,1
AI4I,27,22,9100,9149,50,0,0.0,1.0,1
AI4I,27,23,9150,9199,50,2,0.04,1.0,1
AI4I,27,24,9200,9249,50,0,0.0,1.0,1
AI4I,27,25,9250,9299,50,0,0.0,1.0,1
