dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction,gate_mode,minimum_failures
SECOM,7,Probability-0.5,0,0.5,0.6638173302107728,0.12056159393382793,50.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.9545704279355105,1,,,,,,,,
SECOM,7,Probability-0.5,1,0.5,0.6638173302107728,0.12056159393382793,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9585405155777944,1,,,,,,,,
SECOM,7,Probability-0.5,2,0.5,0.6638173302107728,0.12056159393382793,50.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.9779045946736904,1,,,,,,,,
SECOM,7,Probability-0.5,3,0.5,0.6638173302107728,0.12056159393382793,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9942422864668256,1,,,,,,,,
SECOM,7,Probability-0.5,4,0.5,0.6638173302107728,0.12056159393382793,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9961292745692149,1,,,,,,,,
SECOM,7,Probability-0.5,5,0.5,0.6638173302107728,0.12056159393382793,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9956280626940486,1,,,,,,,,
SECOM,7,Probability-0.5,6,0.5,0.6638173302107728,0.12056159393382793,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9921783029786934,1,,,,,,,,
SECOM,7,Probability-0.5,7,0.5,0.6638173302107728,0.12056159393382793,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.996775300850898,1,,,,,,,,
SECOM,7,Probability-0.5,8,0.5,0.6638173302107728,0.12056159393382793,50.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,0.9976920461821805,1,,,,,,,,
SECOM,7,Probability-0.5,9,0.5,0.6638173302107728,0.12056159393382793,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9971988795518207,1,,,,,,,,
SECOM,7,Probability-0.5,10,0.5,0.6638173302107728,0.12056159393382793,50.0,9.0,1.0,0.0,1.0,9.0,0.0,0.0,0.994539754236337,1,,,,,,,,
SECOM,7,Probability-0.5,11,0.5,0.6638173302107728,0.12056159393382793,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.9950061721467849,1,,,,,,,,
SECOM,7,Probability-0.5,12,0.5,0.6638173302107728,0.12056159393382793,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.9967565973757924,1,,,,,,,,
SECOM,7,Probability-0.5,13,0.5,0.6638173302107728,0.12056159393382793,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9927867160218368,1,,,,,,,,
SECOM,7,Probability-0.5,14,0.5,0.6638173302107728,0.12056159393382793,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9974937343358397,1,,,,,,,,
SECOM,7,Probability-0.5,15,0.5,0.6638173302107728,0.12056159393382793,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,,,,,,,,
