dataset,parameter,value,auto_release_rate_mean,inspection_rate_mean,missed_failure_rate_mean,missed_failure_rate_std
AI4I,gamma,0.55,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
AI4I,gamma,0.6,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
AI4I,gamma,0.65,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
AI4I,gamma,0.7,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
AI4I,gamma,0.75,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
SECOM,gamma,0.55,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
SECOM,gamma,0.6,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
SECOM,gamma,0.65,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
SECOM,gamma,0.7,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
SECOM,gamma,0.75,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
