dataset,seed,batch,phase,domain_auc,shift_flag
SECOM,7,0,stable-prefix,0.4181363678621488,0
SECOM,7,1,stable-prefix,0.39147301693654685,0
SECOM,7,2,stable-prefix,0.4967625453559272,0
SECOM,7,3,stable-prefix,0.4934745844527913,0
SECOM,7,4,post-shift,0.9442263747604306,1
SECOM,7,5,post-shift,0.95348493875162,1
SECOM,7,6,post-shift,1.0,1
SECOM,7,7,post-shift,0.9949874686716793,1
SECOM,7,8,post-shift,0.9951535995387943,1
SECOM,7,9,post-shift,0.9955369520156845,1
SECOM,7,10,post-shift,0.9963143151997641,1
SECOM,7,11,post-shift,0.9950061721467849,1
SECOM,17,0,stable-prefix,0.47901511350808984,0
SECOM,17,1,stable-prefix,0.4872735573019467,0
SECOM,17,2,stable-prefix,0.4417035028858362,0
SECOM,17,3,stable-prefix,0.42826870044954357,0
SECOM,17,4,post-shift,0.9647942150151497,1
SECOM,17,5,post-shift,0.9457304229625864,1
SECOM,17,6,post-shift,0.9956924246525004,1
SECOM,17,7,post-shift,0.9908138432120688,1
SECOM,17,8,post-shift,0.9917440660474717,1
SECOM,17,9,post-shift,0.9931405005049938,1
SECOM,17,10,post-shift,1.0,1
SECOM,17,11,post-shift,0.9870263895031698,1
SECOM,27,0,stable-prefix,0.483268091211347,0
SECOM,27,1,stable-prefix,0.4714388995975452,0
SECOM,27,2,stable-prefix,0.4522572481467057,0
SECOM,27,3,stable-prefix,0.4180111508468274,0
SECOM,27,4,post-shift,0.9530183145528439,1
SECOM,27,5,post-shift,0.964804873245449,1
SECOM,27,6,post-shift,0.9793601651186791,1
SECOM,27,7,post-shift,0.9964456521021606,1
SECOM,27,8,post-shift,0.9918914934394811,1
SECOM,27,9,post-shift,0.9971988795518207,1
SECOM,27,10,post-shift,0.9971827890622077,1
SECOM,27,11,post-shift,0.9948774482298811,1
SECOM,37,0,stable-prefix,0.3259938008982069,0
SECOM,37,1,stable-prefix,0.4120386224010421,0
SECOM,37,2,stable-prefix,0.4448627398720683,0
SECOM,37,3,stable-prefix,0.45047866456087543,0
SECOM,37,4,post-shift,0.9516088151678582,1
SECOM,37,5,post-shift,0.9523244293789785,1
SECOM,37,6,post-shift,0.9806870116467641,1
SECOM,37,7,post-shift,0.9975285283005583,1
SECOM,37,8,post-shift,0.9960194604157452,1
SECOM,37,9,post-shift,0.9973569651741293,1
SECOM,37,10,post-shift,0.9996970999711746,1
SECOM,37,11,post-shift,0.9970514521598113,1
SECOM,47,0,stable-prefix,0.46841945733517293,0
SECOM,47,1,stable-prefix,0.5263900188905098,0
SECOM,47,2,stable-prefix,0.5194485541663642,0
SECOM,47,3,stable-prefix,0.46203834047366005,0
SECOM,47,4,post-shift,0.9364742656685613,1
SECOM,47,5,post-shift,0.9426314221682389,1
SECOM,47,6,post-shift,0.989672037314533,1
SECOM,47,7,post-shift,0.9958720330237357,1
SECOM,47,8,post-shift,0.9918754029498681,1
SECOM,47,9,post-shift,0.9971988795518207,1
SECOM,47,10,post-shift,0.9970514521598113,1
SECOM,47,11,post-shift,0.9964482650876533,1
AI4I,7,0,stable-prefix,0.5394411741311821,0
AI4I,7,1,stable-prefix,0.43435334421642735,0
AI4I,7,2,stable-prefix,0.49747972849381705,0
AI4I,7,3,stable-prefix,0.35910580138741793,0
AI4I,7,4,post-shift,0.9249885358062886,1
AI4I,7,5,post-shift,0.9002445540169326,1
AI4I,7,6,post-shift,0.9328672916235753,1
AI4I,7,7,post-shift,0.9926271959409804,1
AI4I,7,8,post-shift,1.0,1
AI4I,7,9,post-shift,1.0,1
AI4I,7,10,post-shift,1.0,1
AI4I,7,11,post-shift,1.0,1
AI4I,17,0,stable-prefix,0.5406323346452546,0
AI4I,17,1,stable-prefix,0.5410718036803891,0
AI4I,17,2,stable-prefix,0.5520083923327155,0
AI4I,17,3,stable-prefix,0.5015982999491245,0
AI4I,17,4,post-shift,0.9307055479061388,1
AI4I,17,5,post-shift,0.9046446514863042,1
AI4I,17,6,post-shift,0.9392437238367215,1
AI4I,17,7,post-shift,0.993814692856716,1
AI4I,17,8,post-shift,1.0,1
AI4I,17,9,post-shift,1.0,1
AI4I,17,10,post-shift,1.0,1
AI4I,17,11,post-shift,1.0,1
AI4I,27,0,stable-prefix,0.4977557591103759,0
AI4I,27,1,stable-prefix,0.5511337054710589,0
AI4I,27,2,stable-prefix,0.5592071340897296,0
AI4I,27,3,stable-prefix,0.48589658646211253,0
AI4I,27,4,post-shift,0.934358183035315,1
AI4I,27,5,post-shift,0.9120401819934406,1
AI4I,27,6,post-shift,0.9380429574119494,1
AI4I,27,7,post-shift,0.9932548850994042,1
AI4I,27,8,post-shift,1.0,1
AI4I,27,9,post-shift,1.0,1
AI4I,27,10,post-shift,1.0,1
AI4I,27,11,post-shift,1.0,1
AI4I,37,0,stable-prefix,0.4199302458601118,0
AI4I,37,1,stable-prefix,0.6118886464072326,0
