dataset,seed,batch,domain_auc,threshold,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction
SECOM,7,0,0.9545704279355105,0.12196530198387778,0.6109683968624506,0.05,0.43400467138525406,7.4434309173395174,0.0125,0.0
SECOM,7,1,0.9585405155777944,0.12196530198387778,0.580411633563007,0.05,0.4216948977911289,4.588874094959471,0.0075,0.0
SECOM,7,2,0.9779045946736904,0.12196530198387778,0.4703310128273098,0.05,0.36370554491364876,2.380456099412686,0.005,0.0
SECOM,7,3,0.9942422864668256,0.12196530198387778,0.4608220378954613,0.05,0.38208732906022436,2.896878140746557,0.0075,0.0
SECOM,7,4,0.9961292745692149,0.10799144385026738,0.4845551950290882,0.05,0.38469180726407975,3.3012918282755956,0.0075,0.0
SECOM,7,5,0.9956280626940486,0.10799144385026738,0.46956390012354277,0.05,0.38273132859805936,2.636002965759938,0.005,0.0
SECOM,7,6,0.9921783029786934,0.10219235075210298,0.4727517820113051,0.05,0.382170639765417,2.3693538676505455,0.005,0.0
SECOM,7,7,0.996775300850898,0.10799144385026738,0.46807632061835636,0.05,0.36881847783347493,2.5206321259436746,0.01,0.0
SECOM,7,8,0.9976920461821805,0.10799144385026738,0.49319791971937993,0.05,0.401676015263598,3.4451338388147734,0.0025,0.0
SECOM,7,9,0.9971988795518207,0.10799144385026738,0.4792178956619027,0.05,0.3969244607584481,2.2124511843265213,0.0025,0.0
SECOM,7,10,0.994539754236337,0.10219235075210298,0.4772096108994514,0.05,0.39910248208706445,2.778761576630255,0.0075,0.0
SECOM,7,11,0.9950061721467849,0.10799144385026738,0.4692752731084467,0.05,0.40461320737041057,2.2131981312233786,0.01,0.0
SECOM,7,12,0.9967565973757924,0.10799144385026738,0.46346231721892145,0.05,0.3816355434909815,2.115859056820393,0.0075,0.0
SECOM,7,13,0.9927867160218368,0.10799144385026738,0.4541249802892142,0.05,0.3643829585788091,3.5802543109244755,0.0075,0.0
SECOM,7,14,0.9974937343358397,0.10219235075210298,0.4604487019532408,0.05,0.36383720803427444,2.304976692195074,0.005,0.0
SECOM,7,15,0.9960011970224066,0.10799144385026738,1.651338058240809,0.3963681974338625,1.534045640893841,5.493470819073555,0.0,0.0
SECOM,17,0,0.9637407005221569,0.13786357172239516,0.6109683968624506,0.05,0.43400467138525406,7.4434309173395174,0.0125,0.0
SECOM,17,1,0.950356782540196,0.11768610474492824,0.580411633563007,0.05,0.4216948977911289,4.588874094959471,0.0075,0.0
